brand,carHL,carName,carUrl,color,description,doors,lot,model,price,style,views,vinCode,year
Chevrolet,"['\n6.6L Duramax Turbocharged Diesel V8 Engine \r\n', '\nAllison Automatic Transmission \r\n', '\n4 Wheel Drive \r\n', '\nFull Power Options \r\n', '\nPolished Alloy Wheels \r\n', '\nUpgraded Stereo System \r\n', '\nFront Bucket Seats with Fold Down Middle Console \r\n', '\nFour Door Extended Cab \r\n', '\nShort Bed \r\n', '\nTow Package \r\n', '\nAlloy Wheels with All Terrain Tires \r\n', '\nSpent Most of Its Life in Florida\r\n', '\nClean CARFAX with 21 Service Records / Available Upon Request\n']",Silverado2500 HD,https://www.gaaclassiccars.com/vehicles/39902/2002-chevrolet-silverado-2500-hd,Tan,6.6L Duramax Turbocharged Diesel V8 Engine,Tan,FR0048,Silverado,,Pickup Truck,"1,800 Views",VIN:1GCHK29192E262741,2002
Chevrolet,"['\nMileage Not Branded on Front of Title / Owner Believes to be 38K Miles\r\n', '\n5.7L LS1 Engine\r\n', '\n4-Speed Automatic Transmission\r\n', '\nAll Power Options, Including a Power Top\r\n', '\nCruise Control\r\n', '\nElectric Rear Window Defogger\r\n', '\nAir Conditioning\r\n', '\nLeather Seats\r\n', '\nChrome Z28 Wheels\r\n', '\nPerformance Suspension\r\n', '\nOriginal Paint\r\n', '\nUpgraded to Borla Cat Back Exhaust\n']",CamaroZ28,https://www.gaaclassiccars.com/vehicles/40046/2002-chevrolet-camaro-z28,Monterey Maroon Metallic,5.7L LS1 Engine,2,ST0195,Camaro,,Convertible,716 Views,VIN:2G1FP32G922155478,2002
Chevrolet,"['\n355 CID Small Block Engine\r\n', '\nAutomatic Transmission \r\n', '\nPower Steering \r\n', '\nPower Brakes\n']",CamaroZ28,https://www.gaaclassiccars.com/vehicles/40098/1981-chevrolet-camaro-z28,Tan,355 CID Small Block Engine,Brown,ST0194,Camaro,,Coupe,907 Views,VIN:1G1AP87L9BN102541,1981
Chevrolet,"['\n396 CID Big Block \r\n', '\n4-Speed Manual Transmission\r\n', '\nSide Pipe Car\r\n', '\nDakota Digital Gauges\r\n', '\nRetro Style Bluetooth Stereo\r\n', '\nPainted in Candy Apple Red \r\n', '\nWhite Convertible Top\n']",Corvette,https://www.gaaclassiccars.com/vehicles/40037/1969-chevrolet-corvette,Candy Apple Red,Side Pipe Car,2,ST0192,Corvette,,Convertible,"1,354 Views",VIN:194679S732900,1969
Chevrolet,"['\nT-Top\r\n', '\nRed Leather\r\n', '\nRed Exterior\r\n', '\n350 CID Engine\r\n', '\nAutomatic\r\n', '\nAlloy Wheels\r\n', '\nAir Conditioning\n']",Corvette,https://www.gaaclassiccars.com/vehicles/40021/1981-chevrolet-corvette,Red,T-Top,2,ST0193,Corvette,,Coupe,"1,132 Views",VIN:1G1AY8760BS405054,1981
Land Rover,"['\n300 TDI Diesel Engine\r\n', '\n5 Speed R380 Manual Transmission \r\n', '\nSpecial Highland Edition\r\n', '\nEpsom Green Metallic \r\n', '\nCustom Leather Interior \r\n', '\n16"" Five Spoke Alloy Wheels \r\n', '\n265/75R16 Tires \r\n', '\nBody Colored Roof and Fender Flares\r\n', '\nSunroof \r\n', '\nTinted Glass \r\n', '\nModel Specific Upholstery \r\n', '\nModel Specific Graphics\r\n', '\nInterior Upholstery has been Updated \r\n', '\nFactory Standard Highlander Option Cassette Car Radio with Removable Face Plate and Alarm have been Removed \r\n', '\nFound in the Dry, Warm Climate of Corsica \r\n', '\nOriginally Sold on March 17, 1998\n']",Defender90,https://www.gaaclassiccars.com/vehicles/39813/1998-land-rover-defender-90,Epsom Green Metallic,Special Highland Edition,2,ST0189,Defender,,Suv,806 Views,VIN:SALLDVA68VA136431,1998
Jeep,"['\nAlloy Wheels\r\n', '\nAftermarket Bumpers, Steps, Grille, and Wheels\n']",WranglerUnlimited,https://www.gaaclassiccars.com/vehicles/40020/2005-jeep-wrangler-unlimited,Red,Alloy Wheels,2,ST0188,Wrangler,,Jeep,735 Views,VIN:1J4FA44S85P300369,2005
Chevrolet,"['\nMCO Selling As Used Vehicle\r\n', '\nOne Owner with Original MSO \r\n', '\nMileage Not Branded on MSO / Owner Believes to be 18,700 Miles\r\n', '\n5.3L V8 Engine \r\n', '\nLeather Bucket Seats with Console \r\n', '\nPower Seats on Both Sides \r\n', '\nHeated Seats \r\n', '\nRunning Boards \r\n', '\nTrailer Hitch \r\n', '\nAll Original Paint and Interior\r\n', '\nChrome Wheels \r\n', '\nAll Books\n']",Silverado,https://www.gaaclassiccars.com/vehicles/39874/2013-chevrolet-silverado,Beige,One Owner with Original MSO,Maroon,ST0191,Silverado,,Pickup Truck,"1,036 Views",VIN:1GCRCSE08DZ287009,2013
Chevrolet,"['\nNon-Conforming VIN / Incorrect Fasteners\r\n', '\nOdometer Discrepancy Reported / Per NMVTIS Report Not Actual Mileage \r\n', '\nNew Blueprint 383 CID Stroker Engine\r\n', '\nNew 700R4 Transmission\r\n', '\n12 Bolt Posi Rear-end with 373 Gears\r\n', '\nNew Paint\r\n', '\nSame Owner for 13 Years\r\n', '\nNew Aluminum Radiator with Dual Fans\r\n', '\nMarch Pulley System\r\n', '\nOriginal Protect-O-Plate in book\r\n', '\nOriginal Owners Manuals\n']",C10CST,https://www.gaaclassiccars.com/vehicles/39815/1968-chevrolet-c10-cst,Red,New Blueprint 383 CID Stroker Engine,Silver/Red,ST0190,C10,,Truck,"1,365 Views",VIN:CE148A133273,1968
GMC,"['\n350 CID V8 Engine\r\n', '\nMuncie 4 Speed Transmission \r\n', '\nPower Steering \r\n', '\nPower Brakes \r\n', '\nA/C\n']",Sprint,https://www.gaaclassiccars.com/vehicles/40102/1972-gmc-sprint,Black/White Stripes,350 CID V8 Engine,2,ST0187,Sprint,,Pickup Truck,"1,084 Views",VIN:5C80H2B501804,1972
Volkswagen,"['\n1600 cc Volkswagen Engine\r\n', '\n4-Speed Manual Transmission\r\n', '\nNew Paint Inside and Out\r\n', '\nAll Interior Insulated Floors, Walls, and Roof\r\n', '\nAll New Interior, Seats, Carpet, and Headliner\r\n', '\nAll Rubber New - In and Out \r\n', '\nNew Bumpers\r\n', '\nNew Running Boards\r\n', '\nChrome Trim\r\n', '\nCustom Sound System\r\n', '\nFront Fender Lights Moved to Bumper\n']",Beetle,https://www.gaaclassiccars.com/vehicles/39819/1972-volkswagen-beetle,Blue,1600 cc Volkswagen Engine,2,ST0185,Beetle,,Coupe,"3,598 Views",VIN:1122015916,1972
Fiat,"['\nUpgraded 594cc Air Cooled 2 Cylinder Engine / Similar to Those Used in the Standard Fiat 600 and Fiat 126 Models \r\n', '\nLocated Behind the Rear Axle, The Vertical-Twin Engine is Paired with a 4 Speed Manual Gearbox \r\n', '\nHigh/Low Headlight Beams and Wipers\r\n', '\nFuel Tank & Spare Tire and Jack Located in Front Trunk \r\n', '\nRear Compartment Hides the Engine with the Hood Hidden Under a Wicker Picnic Basket \r\n', '\nCabriolet with Fringed Canvas Top \r\n', '\nWicker Seats \r\n', '\nRestored\n']",500Jolly,https://www.gaaclassiccars.com/vehicles/39812/1975-fiat-500-jolly,Wicker,Upgraded 594cc Air Cooled 2 Cylinder Engine,Powder Blue,ST0186,500,,Other,"1,140 Views",VIN:5180120,1975
Chevrolet,"['\nTorch Red Exterior\r\n', '\nBlack Leather Interior\r\n', '\n5.7L LS1 350 HP Engine\r\n', '\n4-Speed Automatic Transmission\r\n', '\nRear Wheel Drive\r\n', '\nGlass and Fiberglass Removable Roof Panels\r\n', '\nDual Automatic Temperature Control\r\n', '\nKenwood AM/FM/ Cassette/ CD Stereo with Bose Speakers\r\n', '\nMemory Power Seats\r\n', '\nPower Windows\r\n', '\nPower Mirrors\r\n', '\nPower Locks\r\n', '\nPower Steering with Tilt Wheel\r\n', '\nPass Key Security \r\n', '\nDaytime Running Lights\n']",Corvette,https://www.gaaclassiccars.com/vehicles/39887/2001-chevrolet-corvette,Red,5.7L LS1 350 HP Engine,2,ST0184,Corvette,,Coupe,827 Views,VIN:1G1YY22G315122172,2001
Ford,"['\nLess Than 500 Miles on 2022 Build\r\n', '\nDeluxe Marti Report\r\n', '\n351 CID Windsor V8 450hp Engine by Hatton Race Engines \r\n', '\nEdelbrock Aluminum Heads \r\n', '\nHowards Cam & Lifters \r\n', '\nHedman Headers\r\n', '\nHolley Sniper Fuel Injection \r\n', '\nTremec 5 Speed Transmission \r\n', '\nMcLeod Clutch and Pressure Plate \r\n', '\n4 Wheel Disc Brakes \r\n', '\nKYB Shocks All Around\r\n', '\nMotive Gear Track 350 Posi Rear End Drag Lok\r\n', '\nNew Power Top, Glass Folding Rear Window, Tonneau Cover \r\n', '\nAM/FM Stereo with Subwoofer\r\n', '\nVintage Heat and A/C\r\n', '\n275/35R18 - 10x18 Front / 315/30R18 - 12x20 Rear \r\n', '\nBase Coat Clear Black \r\n', '\n1"" Lower Shelby Front Springs\r\n', '\nFront & Rear Sway Bars \r\n', '\nTraction Bars \r\n', '\nCustom Made Drive Shaft by Carolina Powertrain\r\n', '\nTMI Interior\r\n', '\nSold New at Young Ford in Charlotte, NC\r\n', '\nComplete Nut and Bolt Build on Original Sheet Metal \r\n', '\nPower Steering \r\n', '\nAluminum Radiator \r\n', '\nMcClede Heavy Duty Flywheel, Clutch & Pressure Plate\n']",Mustang,https://www.gaaclassiccars.com/vehicles/39810/1969-ford-mustang,Black,Less Than 500 Miles on 2022 Build,2,ST0180,Mustang,,Convertible,"1,307 Views",VIN:9T03F150311,1969
Mercury,"['\n302 CID Engine\r\n', '\nAutomatic Transmission \r\n', '\nPower Steering \r\n', '\nPower Disc Brakes \r\n', '\nBlack Vinyl Top \r\n', '\nHide-Away Headlights \r\n', '\nBucket Seats\n']",Cougar,https://www.gaaclassiccars.com/vehicles/40099/1968-mercury-cougar,Silver,302 CID Engine,2,ST0183,Cougar,,Coupe,"1,317 Views",VIN:8R91J504730,1968
Ford,"['\nSC Econoline Truck\r\n', '\n6 Cylinder Engine\r\n', '\n3-Speed Transmission\r\n', '\nSunroof \r\n', '\nStereo System\r\n', '\nHand Painted Woodgrain \r\n', '\nCustom Pinstriping\n']",Econoline,https://www.gaaclassiccars.com/vehicles/39871/1965-ford-econoline,Pickup Truck,Hand Painted Woodgrain,2,ST0181,Econoline,,Pickup Truck,"1,226 Views",VIN:E10TH648789,1965
Chevrolet,"['\nNon-Conforming VIN / Incorrect Fasteners\r\n', '\n335 Small Block Engine Balanced and Blue Printed \r\n', '\nAutomatic Transmission \r\n', '\nDisc Brakes\n']",NovaChevy II,https://www.gaaclassiccars.com/vehicles/39817/1963-chevrolet-nova-chevy-ii,Orange,335 Small Block Engine,2,ST0182,Nova,,Coupe,"1,508 Views",VIN:304370137928,1963
BMW,"['\nBlack Sapphire Metallic Exterior\r\n', '\nBlack Interior\r\n', '\n5.0L 500 HP V10 Engine\r\n', '\nSMG 7-Speed Automatic Transmission\r\n', '\nRear Wheel Drive\r\n', '\n0-60 mph in 4.5 Seconds\r\n', '\nTop Speed is 190 mph\r\n', '\nM-Sport Suspension\r\n', '\nAutomatic Climate Control A/C\r\n', '\n8"" Navigation Screen\r\n', '\nPassport Radar Detector\r\n', '\n16-Way Power Seat Adjustments\n']",M6,https://www.gaaclassiccars.com/vehicles/40097/2006-bmw-m6,Black,5.0L 500 HP V10 Engine,2,ST0179,M6,,Coupe,960 Views,VIN:WBSEH93426B797746,2006
Ford,"['\nQ Code 427 CID 410 HP Single 4 bbl Engine\r\n', '\n4-Speed\r\n', '\nFull Frame Off Restoration\r\n', '\nProduction Numbers were Estimated at 47 Units with the 300 Q Code 2dr Sedan. It is Estimated 2 Units Still Survive\r\n', '\nStill Sports the 97.5 Concourse Judge Score it received\n']",300,https://www.gaaclassiccars.com/vehicles/39932/1963-ford-300,Gold,Full Frame Off Restoration,White,ST0178,300,,Gold,"1,908 Views",VIN:3P53Q192292,1963
Dodge,"['\nMileage Not Branded on Title / Owner Believes to be 44K Miles \r\n', '\n6.1L HEMI Fully Built with Kenne Bell 2.8 Mammoth Supercharged\n']",ChargerSRT8,https://www.gaaclassiccars.com/vehicles/40084/2009-dodge-charger-srt8,Black,6.1L HEMI Engine,4,ST0176,Charger,,Sedan,674 Views,VIN:2B3LA73W49H590586,2009
Volkswagen,"['\nSold With An Ontario Permit That Meets North Carolina Title Requirements \r\n', '\nGreen Exterior\r\n', '\nBlack Interior\r\n', '\n4 Cylinder Engine\r\n', '\n4-Speed Manual Transmission\r\n', '\nOlder Restoration\r\n', '\nRoof Luggage Rack\r\n', '\nEngine Chrome\r\n', '\nAluminum Accessories\r\n', '\nAM/FM/Cassette Radio \r\n', '\nRear Wheel Drive\n']",Beetle,https://www.gaaclassiccars.com/vehicles/40096/1966-volkswagen-beetle,Green,Older Restoration,2,ST0177,Beetle,,Coupe,"1,082 Views",VIN:116876829,1966
Cadillac,"['\n1 of 509 Built for General Motors by Milan Builders in California from a 4DR Seville\r\n', '\nCompletely Reconstructed\r\n', '\nBody was Stripped to Bare Metal and Professionally Repainted in Ruby Red Colors\r\n', '\n383 CID Small Block Chevy Engine\r\n', '\nHolley Sniper Fuel Injection\r\n', '\nMarch Serpentine Belt System\r\n', '\n4L60 Overdrive Transmission\r\n', '\nInterior Finished with Tan Leather Accented with Dark Red Croc Inserts\r\n', '\nRed LED Lighting to Showcase Interior\r\n', '\nHolley Digital Dash\r\n', '\nVintage A/C\r\n', '\nPower Steering\r\n', '\nPower Windows\r\n', '\nElectric Power Wilwood Disc Brakes All Around\r\n', '\nChrome Ridler Wheels - 17"" Front and 18"" Rear\r\n', '\nMichelin Pilot Sport 4S Tires\r\n', '\nGtechniq Ceramic Coating\n']",SevilleMilan,https://www.gaaclassiccars.com/vehicles/40088/1978-cadillac-seville-milan,Ruby Red,Completely Reconstructed,2,ST0173,Seville,,Convertible,994 Views,VIN:6S69B80466495,1978
Toyota,"['\nWhite Exterior with Black Interior\r\n', '\n3-Speed Manual Transmission\r\n', '\nFour Wheel Drive with Manual Locking Hubs\r\n', '\nRear Facing Seats\r\n', '\nRemovable Hardtop, Soft Top\r\n', '\nDual Wipers\r\n', '\nHeater\r\n', '\nOriginal Paint, New Old Stock\n']",Land CruiserFJ40,https://www.gaaclassiccars.com/vehicles/40095/1972-toyota-land-cruiser-fj40,Black,"Removable Hardtop, Soft Top",White,ST0172,Land Cruiser,,Suv,851 Views,VIN:FJ40117635,1972
Chevrolet,"['\nPer Title Mileage Is Not Actual \r\n', '\nSS 454 One of Only 3,823 Built in 1970\r\n', ""\nFound in the Arizona Desert where is spent most of it's Life\r\n"", '\nBrought to South Carolina by the Present Owner and put into Storage until 2012\r\n', '\nAt that time is was Disassembled and and Restoration Begun\r\n', '\nFrame and Other Parts were Sand Blasted and Powder Coated \r\n', '\nThe body was placed on a Rotisserie Completely Refinished\r\n', '\nOriginal Engine was Rebuilt and will be Sold on a Stand with the Car (Pictured)\r\n', '\nHas a Special Cam, Roller Rocker Tappets, a High Rise Intake, and a 850CFM Holley Dual Pumper Carb\r\n', '\nPost-Track Rear is Fitted with a 273 Gear for Hi-Way Cruising\r\n', '\nHas Won Many Trophies and has been Garaged in a Heated and Cooled Dehumidified Environment \r\n', '\nTH400 Transmission\r\n', '\n454 Engine Casting Number (14015445) in the Car Currently\n']",Monte CarloSS 454,https://www.gaaclassiccars.com/vehicles/40050/1970-chevrolet-monte-carlo-ss-454,CRANBERRY,"One of Only 3,823 Built in 1970",2,ST0171,Monte Carlo,,Coupe,"2,432 Views",VIN:138570F127810,1970
Chevrolet,"['\nPer NMVTIS Report: Previous Title Branded Exceeds Mechanical Limits Due to Age \r\n', '\n396 CID Big Block Engine \r\n', '\nA/C\r\n', '\nManual Transmission \r\n', '\n12 Bolt Rear End\n']",Camaro,https://www.gaaclassiccars.com/vehicles/40080/1968-chevrolet-camaro,Black,396 CID Big Block Engine,Red,ST0174,Camaro,,Black,"1,024 Views",VIN:123378N359785,1968
Chevrolet,"['\nRestored\r\n', '\nBlue Print Engine: Part Number BP35513CTC1\r\n', '\nNew Polyurethane Engine Mounts and Transmission Mounts Recently Installed\r\n', '\nRadiator, Brake Booster, and Wiper Motor are the Only Components Not Replaced\r\n', '\n700R Transmission was Rebuilt\r\n', '\nCeramic Coated Headers with a Borta Exhaust\r\n', '\nHeavy Duty Clutches and Upgraded Planetary were Used, as well as a Complete Rebuild on the NP208 Transfer Case\r\n', '\nNew Polyurethane Leaf Spring and Body Bushing Installed\r\n', '\n4"" Lift Kit with No Blocks on Rear Springs by ORD Reverse Leaf Spring Hangers\r\n', '\nRear Holds a New Tom Woods Custom Double Cardan Driveshaft\r\n', '\nNew Vintage Air Conditioning\r\n', '\nNew American Wire Harness\r\n', '\nNew Dash Pad and Dakota Digital VHX Gauge Cluster have been Added\r\n', '\nEvery Door Switch and Dash Switch have Been Replaced\r\n', '\nBody was Media Blasted and Epoxy Primer was Applied\r\n', '\nRust area found above Windshield on Passenger Side was Cut Out and New Metal was Welded In\r\n', '\nPaint on the Bottom is a House of Color Candy Root Beer sits Under a Pearl White Top Portion\r\n', '\nFinished with 5 Coats of Clear Coat\r\n', '\nPen Stripping is a Variegated Gold Leaf\r\n', '\nNew Windows and Door Seals Use During Assembly\r\n', '\nNew Bumpers, Receiver Hitch, and New Electric Trailer Brake System Installed\n']",Blazer,https://www.gaaclassiccars.com/vehicles/39893/1985-chevrolet-blazer,Root Beer & Pearl White,Restored,2,ST0175,Blazer,,Suv,701 Views,VIN:1G8EK18H7FF171151,1985
